gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
Grik3,0.0,0.09468661180410506,0.0,0.0,3.813279365468744,24459
Gpr17,0.0,0.11457846102160277,0.0,0.125,6.857592532291328,9213
Gng12,0.0,0.11976980475185431,0.0,0.2,3.988828206444787,64269
Gm2115,0.0,0.12167123536188384,0.0,0.16666666666666666,4.497839898348158,7870
Cyp1b1,0.0,0.1779585525786052,0.0,0.3333333333333333,4.00354400472534,3386
Deptor,0.0,0.06509741453502949,0.0,0.0,2.45376296623262,4531
Dkk3,0.0,0.14719707339393917,0.0,0.25,7.387156056110062,59312
Dpy19l1,0.0,0.12478387389117929,0.0,0.2,6.365471308865853,78526
Dpyd,0.0,0.07359732245420032,0.0,0.0,2.7591502049944094,13415
Ebf3,0.0,0.10802334708525375,0.0,0.11764705882352941,5.027535824669851,3559
Emcn,0.0,0.053867708662789525,0.0,0.0,3.3075146079630384,7359
Epha4,0.0,0.14671748755137315,0.0,0.2222222222222222,8.170157610949813,67508
Eya4,0.0,0.06606694236726639,0.0,0.0,2.908869987849332,3292
Fezf2,0.0,0.10326942314896191,0.0,0.125,4.300199551010227,16036
Fgd5,0.0,0.061276326821963024,0.0,0.0,2.8373298768632536,7715
Fhod3,0.0,0.10976113953542634,0.0,0.16666666666666666,4.875929036563197,43459
Fibcd1,0.0,0.14966729570338533,0.0,0.25,3.059218318199763,2533
Fign,0.0,0.0760929556088177,0.0,0.0,3.247217275155833,8984
Fn1,0.0,0.13356199752746226,0.0,0.18181818181818182,6.185204057997869,21587
Fos,0.0,0.06349900099528596,0.0,0.0,2.299825174825175,2288
Foxp2,0.0,0.10025745801744954,0.0,0.125,4.223555415219451,19002
Gad2,0.0,0.1513050486660253,0.0,0.2222222222222222,9.383065892796177,29290
Gadd45a,0.0,0.09275681776336477,0.0,0.0,3.768588194684156,14485
Galnt14,0.0,0.07757192054243083,0.0,0.0,3.5065228623094806,15484
Garnl3,0.0,0.11261797298823795,0.0,0.16666666666666666,5.695303373874802,58212
Gfap,0.0,0.15610184901962199,0.0,0.25,6.607433058842777,36674
Gfra2,0.0,0.12449131724964009,0.0,0.2,4.667906976744186,36550
Gjb2,0.0,0.1552925569432069,0.0,0.25,3.856476683937824,3860
Gjc3,0.0,0.11063908239873292,0.0,0.14285714285714285,8.214502617801047,38200
Gli3,0.0,0.06955351930589602,0.0,0.0,2.6844602609727164,11802
Gm19410,0.0,0.05570049373407404,0.0,0.0,2.62189292543021,2092
Zfpm2,0.0,0.09743021536796584,0.0,0.0,2.771701050992604,10276
BLANK_0005,,,,,,0
BLANK_0006,,,,,,0
BLANK_0007,,,,,,0
BLANK_0010,,,,,,0
BLANK_0011,,,,,,0
BLANK_0014,,,,,,0
BLANK_0017,,,,,,0
BLANK_0018,,,,,,0
BLANK_0020,,,,,,0
BLANK_0022,,,,,,0
BLANK_0024,,,,,,0
